KabKota_Angka,Pengeluaran_PerKapita,Total_Pengeluaran_RT,Makanan_Rupiah,NonMakanan_Rupiah,Kalori_PerKapita,Penimbang_Penduduk,Penimbang_RT
1,2930936.904761904,5861873.809523809,4165457.142857142,1696416.666666666,4368.271071428571,307.9261444608046,153.9630722304023
1,1967182.539682539,5901547.619047619,3412714.285714286,2488833.333333333,3218.488224489794,314.7066344470729,104.9022114823576
1,758309.5238095237,1516619.047619047,1162285.714285714,354333.3333333333,2983.765357142856,42.53625846438816,21.26812923219408
1,507501.5873015872,3045009.523809523,1832142.857142856,1212866.666666666,1611.17637755102,10531.22647058819,1755.204411764699
1,586857.142857143,2347428.571428571,1101428.571428571,1246000,1400.832515306122,1160.251033244774,290.0627583111937
1,472992.8571428571,2364964.285714285,1693714.285714285,671250,1766.50475510204,19.29971658808711,3.85994331761742
1,452502.9761904762,1810011.904761904,1179428.571428571,630583.3333333333,1864.656673469387,3512.865024600654,878.2162561501635
1,731241.0714285714,2924964.285714285,2113714.285714285,811249.9999999998,1752.658367346938,2764.060717916408,691.0151794791022
1,599678.5714285712,2398714.285714285,1201714.285714285,1197000,1216.566607142856,1387.028392627648,346.7570981569122
1,555168.6507936508,3331011.904761905,2535428.571428571,795583.3333333333,1583.624897959183,7790.959430047289,1298.493238341214
1,297928.5714285714,1787571.428571428,1157571.428571428,629999.9999999998,1155.373261904762,7546.966785048263,1257.827797508043
1,1374523.809523809,2749047.619047618,1822714.285714285,926333.333333333,2656.171285714285,583.9266866874776,291.9633433437388
1,1327556.857142857,5310227.428571429,3938571.428571429,1371656,2883.237010204081,322.8636965866194,80.71592414665486
1,575174.6031746031,1725523.809523809,999857.1428571428,725666.6666666666,2273.203571428571,1765.579884952644,588.5266283175482
1,744154.642857143,2976618.571428571,2031428.571428571,945190,1800.141714285713,1076.926890402293,269.2317226005733
1,669853.1746031746,2009559.523809524,1286142.857142857,723416.6666666667,2121.82306802721,1522.62123478137,507.54041159379
1,1891078.571428571,5673235.714285714,3586285.714285714,2086950,3993.059673469386,1212.981353355987,404.327117785329
1,785592.2619047618,3142369.047619047,1684285.714285714,1458083.333333333,1685.964622448979,2008.504380838366,502.1260952095917
1,892315.476190476,3569261.904761904,2154428.571428571,1414833.333333333,2184.239285714284,1624.83942807163,406.2098570179075
1,426604.1666666665,1706416.666666666,1259999.999999999,446416.6666666666,1436.538073979592,1703.033329909201,425.7583324773004
1,1260619.523809523,3781858.571428571,2940608.571428571,841250,2946.929659863945,2194.477944411015,731.4926481370052
1,473730.1587301586,2842380.952380951,1960714.285714285,881666.6666666666,2078.495748299319,1837.630240933151,306.2717068221918
